  id  |      nome      | total | qtdVotos | votos1 | votos2 | votos3 | votos4 | votos5 | votos6 | votos7 | votos8 | votos9 |         createdAt          |         updatedAt          |    votosmedia    | likePos | likeNeg 
------+----------------+-------+----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+----------------------------+----------------------------+------------------+---------+---------
 2074 | triste         |     3 |        2 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.915-04 | 2017-04-13 15:12:14.875-04 |              1.5 |       0 |       0
 2064 | simples        |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.91-04  | 2017-04-12 16:07:50.365-04 |                7 |       0 |       0
 2069 | feliz          |     9 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 | 2017-04-10 12:57:40.913-04 | 2017-04-12 16:32:18.918-04 |                9 |       0 |       0
 2164 | dourado        |    14 |        2 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      1 |      0 | 2017-04-10 12:57:40.964-04 | 2017-04-14 11:02:38.871-04 |                7 |       0 |       0
 2184 | contente       |     9 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 | 2017-04-10 12:57:40.981-04 | 2017-04-13 11:21:22.51-04  |                9 |       0 |       0
 2194 | ligeiro        |    13 |        2 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:40.982-04 | 2017-04-13 12:14:24.84-04  |              6.5 |       0 |       0
 2133 | magro          |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.94-04  | 2017-04-14 11:01:12.526-04 |                7 |       0 |       0
 2054 | negro          |     6 |        2 |      1 |      0 |      0 |      0 |      1 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.901-04 | 2017-04-13 11:36:25.718-04 |                3 |       0 |       0
 2139 | alegre         |    18 |        2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      2 | 2017-04-10 12:57:40.942-04 | 2017-04-14 11:00:17.205-04 |                9 |       0 |       0
 2221 | famoso         |    14 |        2 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      1 |      0 | 2017-04-10 12:57:40.988-04 | 2017-04-13 11:37:39.044-04 |                7 |       0 |       0
 2183 | errado         |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.981-04 | 2017-04-13 11:38:52.573-04 |                3 |       0 |       0
 2188 | solitário      |     2 |        1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.981-04 | 2017-04-13 15:22:05.898-04 |                2 |       0 |       0
 2158 | lindo          |    24 |        3 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      1 |      1 | 2017-04-10 12:57:40.961-04 | 2017-04-13 15:34:57.077-04 |                8 |       0 |       0
 2089 | impossível     |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.921-04 | 2017-04-14 10:54:12.756-04 |                3 |       0 |       0
 2199 | castanho       |    19 |        3 |      0 |      0 |      0 |      0 |      0 |      2 |      1 |      0 |      0 | 2017-04-10 12:57:40.983-04 | 2017-04-13 12:10:04.935-04 | 6.33333333333333 |       0 |       0
 2065 | forte          |    21 |        3 |      0 |      0 |      0 |      0 |      0 |      1 |      1 |      1 |      0 | 2017-04-10 12:57:40.911-04 | 2017-04-13 13:07:50.569-04 |                7 |       0 |       0
 2149 | lento          |    13 |        4 |      0 |      1 |      1 |      2 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.96-04  | 2017-04-13 15:21:49.424-04 |             3.25 |       0 |       0
